recovery	reads	molecules	sequenced_reads	saturation
10	1051003.9785512895	977749	2075691	6.970046049014698
11	1164942.1836903018	1075523	2300714	7.675815671025504
12	1280659.5690673122	1173298	2529251	8.383285530154808
13	1398204.6136081864	1271073	2761398	9.092484742275062
14	1517627.69419918	1368848	2997254	9.803443268125392
15	1638981.1831125626	1466623	3236922	10.516191948055408
16	1762319.5516481863	1564398	3480510	11.2307625386225
17	1887699.4804671365	1662172	3728131	11.947187751173985
18	2015179.9771358676	1759947	3979899	12.665501292539872
19	2144822.5014467775	1857722	4235938	13.38573790798391
20	2276691.09913276	1955497	4496373	14.107933426565083
21	2410852.544650988	2053272	4761337	14.832124809078636
22	2547376.4937747	2151047	5030966	15.558350198756159
23	2686335.646802327	2248822	5305405	16.28664897492459
24	2827805.9232715294	2346596	5584803	17.017061809833052
25	2971866.649152666	2444371	5869317	17.74963072888356
26	3118600.7575931395	2542146	6159111	18.484399174515758
27	3268095.0043916497	2639921	6454356	19.221412074019682
28	3420440.199501985	2737696	6755232	19.960715911577225
29	3575731.4560002913	2835471	7061926	20.702358804858065
30	3734068.4581003813	2933246	7374635	21.446390586527073
31	3895555.7499701823	3031020	7693566	22.19286289105233
32	4060303.0472920914	3128795	8018935	22.941829247243305
33	4228425.573722686	3226570	8350971	23.69334517698516
34	4400044.424647352	3324345	8689911	24.447468300686168
35	4575286.960896011	3422120	9036008	25.204258450002627
36	4754287.23539195	3519895	9389526	25.963777788464796
37	4937186.456052428	3617670	9750745	26.726090940691208
38	5124133.488652541	3715444	10119958	27.491265130949543
39	5315285.403810711	3813219	10497475	28.25937033190357
40	5510808.07276302	3910994	10883624	29.03047942447664
41	5710876.817174115	4008769	11278752	29.80466836986129
42	5915677.118896959	4106544	11683225	30.58201639482448
43	6125405.396354546	4204319	12097429	31.362606191582245
44	6340269.85509175	4302093	12521778	32.14652413367011
45	6560491.421052244	4399868	12956707	32.93386050939918
46	6786304.766298057	4497643	13402679	33.72470977468052
47	7017959.438234625	4595418	13860188	34.519170827216456
48	7255721.104964909	4693193	14329758	35.317347304306566
49	7499872.931211788	4790968	14811948	36.11934790679959
50	7750717.10136614	4888743	15307355	36.925286752050916
51	8008576.508696111	4986517	15816617	37.73528375912045
52	8273796.632661011	5084292	16340416	38.54946506988176
53	8546747.629696492	5182067	16879483	39.36796351021714
54	8827826.66688011	5279842	17434603	40.19091909605725
55	9117460.532676894	5377617	18006618	41.01847958970859
56	9416108.564660775	5475392	18596436	41.85080111270707
57	9724265.94090633	5573167	19205034	42.68804882237199
58	10042467.389890986	5670941	19833469	43.530397660336014
59	10371291.383545225	5768716	20482884	44.37803318262497
60	10711364.889923986	5866491	21154515	45.23115248240448
61	11063368.77633037	5964266	21849709	46.089965218343224
62	11428043.971222898	6062041	22569928	46.954694763736555
63	11806198.514668109	6159816	23316768	47.82557949416558
64	12198715.653478619	6257591	24091973	48.70287423464114
65	12606563.169815946	6355365	24897456	49.58685189102844
66	13030804.17265091	6453140	25735315	50.477805295231335
67	13472609.632307515	6550915	26607863	51.37604929934997
68	13933273.002337389	6648690	27517654	52.28192316108494
69	14414227.354133053	6746465	28467520	53.195793271405236
70	14917065.55329599	6844240	29460605	54.118056286393724
71	15443564.140016247	6942014	30500418	55.049142738855856
72	15995711.748416737	7039789	31590888	55.98952122255092
73	16575743.125526069	7137564	32736426	56.93970326389648
74	17186180.108178806	7235339	33942015	57.900249024217565
75	17829881.312373146	7333114	35213299	58.87177401214215
76	18510102.822510358	7430889	36556709	59.85495703346499
77	19230572.89253005	7528664	37979609	60.85054966876226
78	19995584.667898428	7626438	39490476	61.859387652994286
79	20810112.32668706	7724213	41099135	62.882404644583374
80	21679958.000963617	7821988	42817046	63.92064902613445
81	22611939.655374944	7919763	44657672	64.97530459312597
82	23614134.205458477	8017538	46636966	66.04771628783712
83	24696196.253801446	8115313	48773995	67.13942256558673
84	25869782.053768527	8213088	51091780	68.2521966053224
85	27149122.60264878	8310862	53618426	69.38809950352461
86	28551812.442055196	8408637	56388682	70.54954999588595
87	30099917.72433098	8506412	59446128	71.73941743579341
88	31821569.31681108	8604187	62846320	72.9611482503969
89	33753315.14836737	8701962	66661441	74.21894185668582
90	35943702.84986313	8799737	70987369	75.51800188149757
