bin	total	spliced	ambiguous	unspliced	full_spliced	full_ambiguous	full_unspliced	full_total
1	2982943	468068	1549373	965502	281571	1094772	685862	2062205
2	1724858	376471	799801	548586	297261	738401	505776	1541438
3	921897	232024	399370	290503	300591	580526	422150	1303267
4	442061	120796	182924	138341	274460	461095	345691	1081246
5	194518	56141	77892	60485	232009	355899	272614	860522
6	78520	24078	30463	23979	183942	262413	205697	652052
7	29797	9688	11017	9092	136953	184689	147372	469014
8	10858	3634	3947	3277	97022	124448	101004	322474
9	3740	1339	1290	1111	66130	81355	66852	214337
10	1296	458	464	374	43736	51085	42681	137502
11	441	162	147	132	27820	31243	26353	85416
12	132	61	43	28	17186	18397	15816	51399
13	46	19	18	9	10694	10815	9504	31013
14	21	6	10	5	6445	6202	5269	17916
15	3	1	1	1	3648	3365	3041	10054
16	3	1	0	2	2120	1956	1640	5716
17	0	0	0	0	1193	1038	963	3194
18	0	0	0	0	706	598	513	1817
19	1	0	1	0	407	317	268	992
20	0	0	0	0	238	195	167	600
21	0	0	0	0	140	96	75	311
22	0	0	0	0	75	65	37	177
23	0	0	0	0	51	29	12	92
24	0	0	0	0	28	16	13	57
25	0	0	0	0	23	9	6	38
26	0	0	0	0	9	3	3	15
27	0	0	0	0	1	4	2	7
28	0	0	0	0	2	5	2	9
29	0	0	0	0	2	0	0	2
30	0	0	0	0	2	0	2	4
31	0	0	0	0	2	2	0	4
32	0	0	0	0	2	1	0	3
33	0	0	0	0	0	1	1	2
34	0	0	0	0	0	2	0	2
35	0	0	0	0	0	1	1	2
36	0	0	0	0	0	0	0	0
37	0	0	0	0	1	1	0	2
38	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0
40	0	0	0	0	0	1	0	1
41	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0
47	0	0	0	0	1	0	0	1
48	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0
