saturation	reads	molecules	sequenced_reads	recovery
10	1550929.2146933074	1395836	3063023	14.276025670919434
11	1722303.2029790478	1532850	3401480	15.677342625201652
12	1897011.3153270704	1669370	3746521	17.07361277468499
13	2075160.4160328913	1805390	4098358	18.46476399668504
14	2256862.1397361816	1940901	4457212	19.850722408598244
15	2442233.165046002	2075898	4823312	21.231412307193132
16	2631395.5073953453	2210372	5196900	22.606756105193014
17	2824476.832730313	2344316	5578228	23.97667426500931
18	3021610.7937926464	2477721	5967560	25.341085229460536
19	3222937.3909290396	2610579	6365172	26.699905349317177
20	3428603.3595504686	2742883	6771354	28.053048807487368
21	3638762.5865803873	2874622	7186410	29.400427539659336
22	3853576.558466968	3005790	7610659	30.74195115119146
23	4073214.8436021656	3136375	8044436	32.07752683003924
24	4297855.612286378	3266370	8488092	33.40705925548373
25	4527686.197710951	3395765	8941998	34.73045050241649
26	4762903.701803602	3524549	9406543	36.04759994091552
27	5003715.650200762	3652712	9882137	37.35840413082967
28	5250340.701082153	3780245	10369212	38.66275671106959
29	5503009.413132967	3907137	10868222	39.960548283279216
30	5761965.078498071	4033376	11379649	41.2516662895413
31	6027464.627268659	4158951	11904000	42.53599488374299
32	6299779.6108075995	4283850	12441812	43.81341479620286
33	6579197.272087257	4408062	12993650	45.08380319112678
34	6866021.712200284	4531574	13560117	46.34703351643251
35	7160575.163325539	4654374	14141848	47.602975345445685
36	7463199.379710887	4776448	14739519	48.85149420993143
37	7774257.159696799	4897782	15353845	50.09245142388744
38	8094134.013477361	5018363	15985589	51.32570389747594
39	8423239.99321599	5138176	16635560	52.551103940427765
40	8762011.704339053	5257207	17304621	53.768499054195004
41	9110914.51937437	5375440	17993690	54.9777317120737
42	9470445.018637553	5492858	18703748	56.178639126455046
43	9841133.68546867	5609446	19435844	57.3710530022947
44	10223547.887666073	5725187	20191096	58.55479927581611
45	10618295.18135345	5840062	20970706	59.729697837383135
46	11026026.978867732	5954055	21775960	60.89556223738797
47	11447442.628515769	6067145	22608239	62.05219937390471
48	11883293.961388968	6179313	23469028	63.19940916075435
49	12334390.369060002	6290539	24359925	64.33698417451122
50	12801604.486173447	6400802	25282654	65.46470927885677
51	13285878.563998457	6510080	26239076	66.58236122455052
52	13788231.635325912	6618351	27231203	67.68970822313845
53	14309767.588145342	6725591	28261216	68.78650949235822
54	14851684.285923155	6831775	29331480	69.87251477102537
55	15415283.896763407	6936878	30444566	70.94746380099086
56	16001984.62319239	7040873	31603277	72.01108577355659
57	16613334.059929684	7143734	32810667	73.06309873750759
58	17251024.450259596	7245430	34070080	74.10320896568045
59	17916910.16435688	7345933	35385177	75.13111027672495
60	18613027.787524275	7445211	36759982	76.14648330843927
61	19341619.28580545	7543232	38198921	77.1489947387626
62	20105158.814770624	7639960	39706881	78.13829645019716
63	20906383.85952077	7735362	41289268	79.11402463310753
64	21748331.546764843	7829399	42952081	80.0757988230116
65	22634381.161926337	7922033	44701993	81.02322086664292
66	23568304.1471907	8013223	46546453	81.95587381123957
67	24554323.165627763	8102927	48493801	82.87332071121392
68	25597182.21272956	8191098	50553406	83.77510334610399
69	26702230.267962195	8277691	52735832	84.66074084353191
70	27875521.64360593	8362656	55053035	85.52972820084129
71	29123937.059173226	8445942	57518605	86.3815346992143
72	30455330.620773803	8527493	60148054	87.215602204468
73	31878709.419708177	8607252	62959170	88.03134334951517
74	33404454.53100697	8685158	65972455	88.82813959481336
75	35044595.00329411	8761149	69211667	89.60533916525038
76	36813150.29646007	8835156	72704492	90.36225486514408
77	38726562.00183786	8907109	76483404	91.09816177782592
78	40804243.25893054	8976934	80586741	91.81229486326413
79	43069285.11183481	9044550	85060107	92.50384647726636
80	45549374.75283128	9109875	89958185	93.17196385026317
81	48278003.74702653	9172821	95347117	93.81574658434066
82	51296079.05635564	9233294	101307695	94.43424425670608
83	54654102.79648997	9291197	107939656	95.02645425995922
84	58415169.66392489	9346427	115367612	95.5913200700239
85	62659163.79383221	9398875	123749330	96.12773021967391
86	67488755.0462437	9448426	133287579	96.63451838170226
87	73038164.0857918	9494961	144247439	97.11046514978108
88	79486312.08441602	9538357	156982272	97.55430237592371
89	87077146.3833395	9578486	171973864	97.96472132648877
90	96152167.11352451	9615217	189896666	98.34038652604016
