key	type	value
total_reads	reads	66060721
spliced_reads	reads	5731945
ambiguous_reads	reads	17181428
unspliced_reads	reads	10535774
countable_reads	reads	33449147
low_quality_reads	reads	23319508
bad_tag_reads	reads	2156217
no_gene_reads	reads	7135849
raw_molecules	reads	9591626
bam	param	/media/data2/Genomics/Projects/Gavin/scdup/10X/raw/pbmc_1k_protein_v3_possorted_genome_bam.bam
min_gene	param	0.9500
min_exonic	param	0.9500
min_gene_bases	param	40
min_intronic	param	15
min_qual	param	255
discard_unknown_juncs	param	0
library_string	library	10X_3p_v3
barcode_tag	library	CB
barcode_length	library	18
barcode_regex	library	^[ACGT]+-\d+$
umi_tag	library	UR
umi_length	library	12
strand_mode	library	fwd
barcodes_detected	library	304692
